Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-108,60.86999893,5209.17,90,1,2,0.49,4
-71,28.95999908,908.9,90,1,1,0,1
-83,31.30999947,1363.38,27.11,0,1,0.45,1
-65,0.9499999881,275.28,60,1,1,0,3
-91,24.31999969,444.35,90,1,2,0.63,4
-83,6.21999979,268.04,60,1,1,3.33,3
-69,0,246.81,60,1,1,3.51,4
-78,0,228.46,90,1,2,0.52,4
-79,16.26000023,410.93,90,1,1,0.5,2
-80,0,224.64,90,1,2,0.47,4
-84,11.88000011,358.08,60,1,2,0.42,4
-104,0.2599999905,779.68,90,1,2,0.54,4
-88,23.96999931,1128.09,90,1,2,0.47,4
-103,0,771.42,90,1,2,0.51,4
-90,43.43000031,873.93,90,1,2,0.56,4
-73,6.820000172,645.62,90,1,1,0.64,2
-51,51.13000107,791.01,90,1,1,0,3
-67,0,245.53,60,1,1,5.05,4
-71,6.28000021,139.06,90,1,1,0.6,3
-53,49.04999924,705.35,90,1,1,0,2
-89,0.349999994,803.43,90,1,1,0,1
-95,0,363.05,60,1,2,0.59,4
-51,34.09999847,200.48,90,1,1,0.44,2
-69,7.460000038,127.01,60,1,1,3.66,3
-81,0,432.1,90,1,1,0,1
-86,0.7599999905,213.71,90,1,2,0.6,4
-87,28.69000053,606.26,90,1,2,0.6,4
-71,0,247.96,60,1,1,3.39,4
-81,0,432.38,90,1,1,0,2
-99,26.73999977,589.89,90,1,2,0.6,4
-79,10.84000015,346.37,90,1,2,0.41,4
-95,0,372.75,60,1,2,0.65,4
-55,43.31000137,636.8,90,1,1,0.4,3
-69,0,51.23,60,1,1,3.75,3
-86,8.329999924,132.89,90,1,2,0.74,4
-61,44.29999924,2765.4,90,1,1,0,4
-73,21.95000076,557.81,90,1,1,0.38,3
-53,48.5,1058.25,90,1,1,0,3
-71,0,244.93,60,1,1,3.67,4
-71,38.59999847,1393.57,90,1,1,0.41,2
-57,49.84000015,2937.99,90,1,1,0.58,4
-65,55.16999817,708.54,90,1,1,0.42,3
-51,50.02999878,1189.98,90,1,1,0,3
-85,0.1599999964,228.84,60,1,2,0.47,4
-55,26.29000092,516.07,90,1,1,0,4
-71,0,244.13,60,1,1,3.13,4
-109,67.91000366,502.56,67.24,0,0,0,1
-94,17.19000053,692.38,90,1,2,0.49,4
-71,0,245.56,60,1,1,3.06,2
-71,0,245.92,60,1,1,3.33,4
-83,82.80999756,1775.98,90,1,1,0,4
-81,5.699999809,305.16,60,1,2,0.68,4
-87,0.6600000262,141.88,90,1,2,0.7,4
-108,3.460000038,389.75,60,1,2,0.43,4
-79,5.070000172,253.23,60,1,1,3.6,3
-102,8.090000153,214.97,60,1,2,0.87,4
-87,83.16000366,3139.74,90,1,1,0.58,2
-80,17.20999908,479.63,90,1,2,0.52,4
-71,70.73000336,1425.12,90,1,1,0.4,2
-94,34.59000015,1163.01,90,1,2,0.57,4
-85,79.98000336,3697.08,90,1,1,0.65,2
-106,41.25,6585.88,90,1,2,0.64,4
-77,5.710000038,220.15,60,1,1,3.85,3
-75,83.41000366,230.58,49,0,1,0.75,4
-77,0.5400000215,294.83,60,1,1,3.9,1
-67,42.22999954,848.41,90,1,1,0.68,3
-73,4.889999866,340.54,60,1,1,3.64,1
-55,33.99000168,595.83,90,1,1,0,3
-101,82.61000061,988.37,90,1,1,0,4
-75,34.81999969,2308.35,90,1,0,0,4
-71,0,246.58,60,1,1,3.27,4
-51,9.069999695,172.21,90,1,1,0,1
-116,0,879.55,60,1,2,0.89,4
-95,82.55000305,3504.14,90,1,1,0,1
-79,0.25,119.41,90,1,2,0.6,4
-71,0,247.45,60,1,1,3.46,4
-61,69.06999969,1103.82,90,1,1,0.77,3
-97,29.68000031,1394.69,90,1,2,0.39,4
-113,0,879.38,60,1,2,0.98,4
-55,43.52999878,959.3,90,1,1,0.71,2
-59,7.239999771,481.98,60,1,1,4.51,1
-71,82.44000244,35175.59,90,1,1,0,1
-71,0,245.62,60,1,1,4,2
-119,0,882.83,60,1,2,1.02,4
-55,34.11999893,1225.55,90,1,1,0,3
-77,15.89999962,1064.54,70.27,0,1,0.74,2
-90,20.72999954,361.81,90,1,2,0.42,4
-59,1.919999957,86.6,60,1,1,3.91,4
-81,0,1254.81,90,1,1,0,2
-105,2.269999981,622.57,90,1,2,2.94,4
-81,0,1252.73,90,1,1,1.06,2
-96,14.68000031,451.7,90,1,2,0.46,4
-67,0,249.56,60,1,1,3.04,4
-73,0,177.9,60,1,1,3.81,3
-79,27.47999954,910.22,90,1,1,0,1
-92,15.94999981,101.84,90,1,2,0.49,4
-119,0,877.92,60,1,2,1.26,4
-89,19.69000053,293.27,90,1,2,0.59,4
-114,35.61000061,3258.49,90,1,2,0.49,4
-81,16.88999939,761.45,90,1,2,0.41,4
-85,77.23000336,952.22,90,1,2,0.66,4
-80,7.670000076,238.87,90,1,2,0.51,4
-65,0,250.4,60,1,1,3.08,4
-69,2.180000067,511.52,60,1,1,3.65,3
-119,0.4900000095,867.88,60,1,2,1.09,4
-86,8.029999733,244.04,90,1,2,0.61,4
-74,0,230.46,90,1,2,0.55,4
-99,46.16999817,1152.12,90,1,2,0.56,4
-65,0,248.73,60,1,1,3.04,4
-119,0,879.03,60,1,2,0.62,4
-92,25.01000023,203.85,90,1,2,0.55,4
-87,13.97000027,362.77,90,1,2,0.56,4
-69,0,249.39,60,1,1,3.12,4
-119,0,876.59,60,1,2,1.17,4
-65,0,249.67,60,1,1,3.15,3
-119,0.8899999857,880.2,60,1,2,1.89,4
-75,8.510000229,111.08,60,1,1,3.83,4
-85,8.029999733,395.85,90,1,2,0.52,4
-73,0,250.03,60,1,1,3.02,2
-119,0,880.33,60,1,2,1.57,4
-88,8.06000042,259.18,90,1,2,0.64,4
-81,2.519999981,141.6,90,1,2,0.54,4
-86,10.75,428.75,90,1,2,0.49,4
-81,0.7900000215,38,90,1,2,0.51,4
-67,12.64000034,369.22,60,1,1,3.56,3
-81,0.7900000215,38,90,1,2,0.64,4
-59,9.93999958,190.08,60,1,1,4.09,1
-51,0,47.23,60,1,1,4.06,3
-86,27.43000031,387.54,90,1,2,0.56,4
-81,0.9800000191,98.63,90,1,2,0.44,4
-89,26.45000076,3004.99,90,1,1,0.6,4
-81,0.1800000072,49.41,90,1,2,0.45,4
-97,18.52000046,1105.83,90,1,2,0.65,4
-81,0.1800000072,49.41,90,1,2,0.44,4
-75,21.59000015,192.81,90,1,1,0.44,4
-87,8.430000305,409.31,90,1,2,0.64,4
-65,0,250.75,60,1,1,4.68,4
-119,0,882.69,60,1,2,0.54,4
-112,14.72999954,5865.41,90,1,2,0.52,3
-88,22.43000031,517.14,90,1,2,0.56,4
-63,8.199999809,267.11,90,1,1,0,4
-73,0,723.77,90,1,1,0.53,1
-87,41.41999817,340.58,90,1,2,0.44,4
-73,14.97000027,229.39,60,1,1,3.08,4
-71,0,735.77,90,1,1,0,4
-119,0,881.2,60,1,2,1.37,4
-65,76.73000336,678.36,90,1,2,0.56,4
-67,7.920000076,245.03,90,1,1,0,1
-77,8.079999924,901.86,90,1,1,0,1
-53,84.63999939,879.16,90,1,1,0.51,2
-119,1.139999986,853.82,60,1,2,1.06,4
-61,81.80000305,1647.72,90,1,1,0.54,2
-103,1.5,240.05,60,1,1,3.37,4
-81,8.520000458,1474.12,90,1,1,0,3
-79,7.789999962,851.03,90,1,1,1.21,1
-63,70.54000092,1549.87,90,1,1,0.53,2
-75,6.440000057,1545.77,90,1,1,0,3
-57,81.63999939,2225.03,90,1,1,0.57,2
-51,42.31999969,379.85,90,1,1,0.43,4
-119,0,871.93,60,1,2,1.06,4
-103,1.5,240.05,60,1,1,3.55,4
-51,0.5299999714,15454.32,90,1,1,0,2
-92,30.07999992,800.5,90,1,2,0.49,4
-59,40.56000137,149.05,90,1,1,0,3
-53,40.56000137,149.05,90,1,1,0,2
-51,40.56000137,4293.63,90,1,1,0.53,4
-119,0.8700000048,869.39,60,1,2,1.33,4
-103,1.5,240.05,60,1,1,3.31,4
-55,40.56000137,4216.41,90,1,1,0,1
-95,2.25999999,353.02,90,1,2,0.46,4
-97,0,1587.63,60,1,0,1.35,4
-94,0.2099999934,436.46,90,1,2,0.52,4
-116,0,873.58,60,1,2,0.74,4
-105,1.5,240.05,60,1,1,2.98,4
-127,0,1588.01,60,1,0,1.29,4
-103,1.5,240.05,60,1,1,3.52,3
-94,0,428.47,90,1,2,0.63,4
-94,0,428.01,90,1,2,0.43,4
-94,0,428.27,90,1,2,0.59,4
-94,0,429.05,90,1,2,0.43,4
-94,0,429.69,90,1,2,0.43,4
-94,1.019999981,468.79,90,1,2,0.37,4
-94,1.019999981,468.79,90,1,2,0.72,4
-94,1.019999981,468.79,90,1,2,0.39,4
-116,0,879.01,60,1,2,1.01,4
-105,1.5,240.05,60,1,1,3.43,3
-117,0,876.24,60,1,2,1.34,4
-109,1.5,240.05,60,1,1,3.54,4
-117,0,876.62,60,1,2,0.98,4
-107,1.5,240.05,60,1,1,3.42,4
-117,0,875.78,60,1,2,0.91,4
-116,0,875.77,60,1,2,0.99,4
-97,0,1588.86,60,1,0,2.07,4
-107,0,158.29,60,1,1,3.46,4
-117,0,875.28,60,1,2,2.16,4
-117,0,875.19,60,1,2,1.04,4
-89,0,875.41,60,1,0,1.83,4
-103,0,158.29,60,1,1,3.42,4
-103,0,158.29,60,1,1,3.1,3
-98,0,858.03,90,1,2,0.64,4
-98,0,858.33,90,1,2,0.48,4
-115,0,874.58,60,1,2,1.62,4
-98,0,858.24,90,1,2,0.44,4
-115,0,866.61,60,1,2,2.03,4
-115,0,867.13,60,1,2,1.38,4
-107,0,158.29,60,1,1,3.13,4
-117,1.100000024,919.58,90,1,2,0.54,4
-117,0,868.5,60,1,2,1.46,4
-117,1.399999976,852.01,60,1,2,0.91,4
-118,0.7099999785,877.8,60,1,2,3.13,4
-118,0,867.21,60,1,2,1.45,4
-118,0,867.43,60,1,2,0.79,4
-87,0,1581.36,60,1,0,2.35,4
-97,0.6899999976,1589.68,60,1,0,1.86,4
-117,0.3300000131,858.56,60,1,2,0.56,4
-117,0,863.54,60,1,2,0.76,4
-103,0,158.29,60,1,1,3.08,4
-109,0,158.29,60,1,1,3.46,4
-117,0,1590.55,60,1,0,0.94,4
-117,0,872.16,60,1,2,1.96,4
-97,0,1584.76,60,1,0,0.47,4
-97,0,1585.01,60,1,0,1.46,4
-117,0,871.69,60,1,2,1.31,4
-105,0,158.29,60,1,1,3.89,4
-117,0,871.73,60,1,2,1.55,4
-97,0,1594.4,60,1,0,0.88,4
-117,0,877.61,60,1,2,1.28,4
-105,0,158.29,60,1,1,4.08,4
-91,0,875.42,60,1,0,0.96,4
-105,0,158.29,60,1,1,3.73,1
-117,0,873.63,60,1,2,0.96,4
-117,0.6499999762,876.24,60,1,2,0.83,4
-97,0.5899999738,1581.13,60,1,0,2.71,4
-117,1.539999962,886.2,60,1,2,0.89,4
-117,1.080000043,877.96,60,1,2,1.81,4
-97,0.9900000095,1610.94,60,1,0,0.75,4
-105,0,158.29,60,1,1,3.34,4
-97,0,1581.95,60,1,0,1.37,4
-95,1.25,1547.97,60,1,0,3.41,4
-89,1.690000057,850.82,60,1,0,1.06,4
-117,0.5199999809,848.81,60,1,2,1.75,4
-117,0.5799999833,863.7,60,1,2,0.72,4
-117,0,884.44,60,1,2,1.52,4
-95,0,910.66,60,1,0,4.22,4
-117,0.6399999857,836.34,60,1,2,1.38,4
-117,2.069999933,871.68,60,1,2,1,4
-117,0.4699999988,922.17,60,1,2,1.15,4
-88,0.8600000143,473.59,90,1,2,0.77,4
-107,0.2800000012,216.12,90,1,2,0.42,4
-103,0,161.59,60,1,1,3.78,4
-92,0.4799999893,447.97,90,1,2,0.49,4
-107,0.2700000107,231.34,90,1,2,0.48,4
-92,0.4099999964,443.88,90,1,2,0.59,4
-117,0,851,60,1,2,1.12,4
-107,0.6899999976,236.51,90,1,2,0.39,4
-92,1.039999962,487.81,90,1,2,0.4,4
-117,0.9800000191,868.89,60,1,2,3.82,4
-92,0.4300000072,477.37,90,1,2,0.55,4
-92,0.4300000072,477.37,90,1,2,0.48,4
-92,0.4300000072,477.37,90,1,2,0.56,4
-117,0,861.7,60,1,2,1.59,4
-92,0.4300000072,477.37,90,1,2,0.58,4
-93,0.4300000072,477.37,90,1,2,0.48,4
-108,0.4300000072,220.85,90,1,2,0.46,4
-94,0,436.65,90,1,2,0.42,4
-117,0,872.32,60,1,2,0.77,4
-93,0.7099999785,461.29,90,1,2,0.54,4
-93,0,455.28,90,1,2,0.6,4
-93,1.519999981,435.63,90,1,2,0.47,4
-93,0,442.14,90,1,2,0.54,4
-93,0,437.6,90,1,2,0.6,4
-127,0,873.55,60,1,2,1.39,4
-93,0,447.62,90,1,2,0.38,4
-105,0,161.59,60,1,1,3.59,4
-93,0,446.19,90,1,2,0.5,4
-96,0,446.19,90,1,2,0.41,4
-106,0,290,90,1,2,0.56,4
-104,0,215.53,90,1,2,0.38,4
-127,0,860.71,60,1,2,0.82,4
-105,1.159999967,239.82,90,1,2,0.51,4
-104,0,438.34,90,1,2,0.5,4
-104,0,434.87,90,1,2,0.4,4
-117,0,887.25,60,1,2,0.86,4
-117,0,884.26,60,1,2,1.52,4
-97,0,369.27,90,1,2,0.54,4
-115,6.480000019,794.74,85.71,0,2,0.46,4
-63,6.480000019,2184.89,90,1,1,0,3
-107,0,161.59,60,1,1,3.57,4
-57,6.480000019,2184.89,90,1,1,0.42,1
-53,46.02999878,374.14,90,1,1,0.38,2
-51,71.83999634,1020.1,90,1,1,0.6,4
-117,1.899999976,888.45,60,1,2,0.97,4
-55,61.31999969,2480.09,90,1,1,0.43,3
-51,73.79000092,502.6,90,1,1,0.59,2
-117,1.139999986,875.45,60,1,2,0.89,4
-55,78.44999695,3985.78,90,1,1,0.53,1
-53,82.37999725,761.02,90,1,1,0.48,3
-51,60.75,1129.26,90,1,1,0.47,2
-117,0.7200000286,866.97,60,1,2,0.6,4
-87,74.80999756,1323.44,90,1,2,0.39,4
-105,0,161.59,60,1,1,4.72,4
-82,81.47000122,820.45,90,1,2,0.75,4
-61,72.76000214,62618.97,90,1,1,0.77,4
-94,67.05999756,463.88,90,1,2,0.41,4
-117,0.25,891.06,60,1,2,0.92,4
-90,42.74000168,73.19,90,1,2,0.53,4
-96,21.97999954,343.16,90,1,2,0.47,4
-109,0,161.59,60,1,1,4.63,4
-74,28.76000023,190.37,90,1,2,0.47,4
-79,20.95999908,68.44,90,1,2,0.83,4
-117,0,873.75,60,1,2,1,4
-76,6.179999828,228.88,90,1,2,0.42,4
-73,0,45.54,90,1,2,0.66,4
-73,1.090000033,64.28,90,1,2,0.43,4
-73,1.090000033,64.28,90,1,2,0.56,4
-73,1.090000033,64.28,90,1,2,0.43,4
-117,0,876.39,60,1,2,1.08,4
-76,1.679999948,78.77,90,1,2,0.48,4
-95,0,504.62,60,1,1,4.13,1
-87,6.800000191,404.8,90,1,2,0.49,4
-72,19.04999924,206.02,90,1,2,0.5,4
-115,0.6600000262,864.76,60,1,2,1.55,4
-115,0.6200000048,889.56,60,1,2,0.79,4
-96,23.89999962,821.74,90,1,2,0.41,4
-85,0,527.39,60,1,1,4.44,3
-93,0,539.38,60,1,1,3.97,1
-89,0,532.14,60,1,1,4.28,1
-77,46.59000015,1541.91,90,1,1,0.41,3
-105,0,161.59,60,1,1,3.98,4
-102,74.13999939,3335.83,90,1,2,0.49,4
-105,0,161.59,60,1,1,3.63,4
-84,80.55999756,944.94,90,1,2,0.65,4
-105,0,161.59,60,1,1,3.71,4
-118,0,881.33,60,1,2,1.59,4
-105,0,161.59,60,1,1,3.68,4
-69,23.22999954,2294.86,90,1,1,0.42,4
-57,14.53999996,329.3,60,1,1,3.92,3
-118,0,874.61,60,1,2,1.05,4
-51,25.92000008,616.37,90,1,1,0,4
-105,2.690000057,932.24,90,1,2,0.49,4
-77,1.50999999,521.15,60,1,1,3.66,3
-118,0,876.99,60,1,2,1.78,4
-101,2.690000057,660.79,90,1,2,0.43,4
-98,0,4629.28,90,1,2,0.42,4
-87,0,873.68,90,1,2,0.67,4
-77,0,71.98,60,1,1,3.78,3
-100,8.270000458,1654.76,900,1,2,0.34,4
-85,43.81000137,9411.51,90,1,1,0.44,4
-61,0,1182.25,90,1,1,0.47,3
-117,0,877.67,60,1,2,1.09,4
-105,0,161.59,60,1,1,4.12,4
-78,0.3100000024,112.68,90,1,2,0.5,4
-128,0.7799999714,88.52,414.93,0,2,0.57,4
-82,0,206.63,90,1,2,0.47,4
-87,0,432.29,60,1,1,5,3
-67,9,504.59,60,1,1,4.11,4
-116,39.49000168,5137.38,90,1,2,0.47,4
-117,0,875.12,60,1,2,0.84,4
-102,33.83000183,1660.6,90,1,2,0.57,4
-67,30.07999992,566.7,90,1,1,0.68,4
-79,39.45000076,1486.43,90,1,1,0,2
-81,0,430.38,60,1,1,3.96,3
-77,5.550000191,105.18,60,1,1,3.66,4
-85,14.18999958,432.1,90,1,2,0.47,4
-117,1.110000014,859.75,60,1,2,1.84,4
-85,0.4099999964,143.47,90,1,2,0.43,4
-97,19.52000046,858.82,90,1,2,0.65,4
-99,30.09000015,380.87,90,1,2,0.65,4
-117,0,877.54,60,1,2,1.09,4
-75,10.51000023,329.93,60,1,1,4.21,3
-63,0,239.24,60,1,1,3.96,4
-117,0.3899999857,881.31,60,1,2,0.85,4
-117,0,871.8,60,1,2,1.01,4
-55,31.79999924,280.4,90,1,1,0,3
-85,9.510000229,129.22,60,1,1,3.65,3
-75,1.960000038,38.57,60,1,1,3.63,2
-51,44.66999817,627.7,90,1,1,0,2
-65,5.929999828,343.64,60,1,1,4.31,4
-112,0,1730.37,90,1,2,0.5,4
-100,43.43000031,2533.74,90,1,2,0.56,4
-113,8.479999542,4567.12,90,1,2,0.57,4
-65,0,240.41,60,1,1,3.56,4
-51,29.77000046,1049.2,90,1,1,0.44,3
-87,8.010000229,1417.99,90,1,1,0.69,3
-51,10.51000023,689.97,90,1,1,0,4
-89,16.53000069,3632.63,90,1,1,0,2
-53,31.38999939,600.97,90,1,1,0,3
-117,7.730000019,6700.77,17.09,0,2,0.74,1
-63,0,245.17,60,1,1,4.2,4
-117,0,873.88,60,1,2,1.06,4
-63,0,245,60,1,1,3.46,2
-88,19.72999954,412.55,90,1,2,0.6,4
-65,0,244.91,60,1,1,3.14,2
-97,0,266.91,90,1,2,0.52,4
-61,0,778.26,90,1,1,0,3
-117,0.9900000095,882.07,60,1,2,1.05,4
-61,0,793.83,90,1,1,0,1
-63,2.579999924,178.55,60,1,1,3.71,4
-51,46.52999878,577.93,90,1,1,0.58,3
-113,0,3761.07,90,1,2,0.71,4
-51,49.61000061,1125.89,90,1,1,0,4
-67,10.72999954,422.77,90,1,1,0.66,3
-117,0,861.2,60,1,2,1.06,4
-83,0,454.19,60,1,1,4.16,3
-83,8.890000343,46810.63,90,1,1,0,1
-91,22.15999985,1344.02,90,1,2,0.43,4
-83,0,2825.48,90,1,1,0,4
-80,0,214.45,90,1,2,0.57,4
-116,0,2825.07,90,1,2,0.63,4
-65,0,246.5,60,1,1,3.32,2
-82,18.67000008,395.33,90,1,2,1.15,4
-100,3.440000057,2685.16,90,1,2,0.62,4
-101,6.75,1978.23,60,1,1,0.81,3
-96,43.22999954,539.04,90,1,2,0.51,4
-113,8.640000343,3846.07,90,1,2,0.53,4
-55,60.72000122,1393.16,90,1,1,0,3
-63,0,244.79,60,1,1,3.52,4
-83,7.679999828,1522.33,90,1,1,0.95,4
-63,32.25,2632.31,90,1,1,0,3
-106,6.840000153,2168.73,90,1,2,0.53,4
-61,8.039999962,404.08,90,1,1,0,4
-65,0,353.71,60,1,1,4.9,3
-112,9.789999962,1680.75,90,1,2,0.5,4
-93,2.440000057,216.88,60,1,1,0,4
-100,0,1226.25,60,1,2,0.73,4
-97,7.940000057,1681.11,90,1,2,0.63,4
-100,9.279999733,1513.09,90,1,2,0.49,4
-90,19.95000076,324.9,90,1,2,0.51,4
-85,7.050000191,77.88,90,1,2,0.63,4
-57,16.53000069,2999.69,90,1,1,0,4
-59,0,354.17,60,1,1,3.96,1
-96,9.079999924,1027.37,90,1,2,0.49,4
-89,26.03000069,1342.95,90,1,1,0.94,4
-83,27.98999977,439.61,60,1,1,3.91,4
-104,0.6299999952,161.82,90,1,2,0.48,4
-87,9.479999542,406.16,60,1,2,0.57,4
-67,28.37999916,208.64,90,1,1,0,3
-104,0,186.34,90,1,2,0.6,4
-127,30.94000053,1684.94,43.82,0,2,1.61,4
-104,0,538.48,90,1,2,0.56,4
-83,29.90999985,1169.97,90,1,1,0,3
-105,25.03000069,1311.02,60,1,2,0.8,4
-96,0.200000003,534.33,90,1,2,0.59,4
-116,9.859999657,2539.14,60,1,2,0.55,4
-96,30.25,1124.44,90,1,2,0.59,4
-114,11.31000042,1234.95,60,1,2,0.77,4
-83,5.25,844.45,60,1,1,3.95,4
-95,1.399999976,573.51,90,1,2,0.55,4
-93,29.13999939,1851.71,60,1,1,5.33,4
-101,0.25,550.35,90,1,2,0.53,4
-95,25.77000046,673.84,90,1,1,0,1
-101,1.049999952,231.54,90,1,2,0.47,4
-83,10.94999981,605.85,60,1,1,4.45,3
-101,1.049999952,231.54,90,1,2,0.48,4
-101,0.6600000262,197.94,90,1,2,0.42,4
-96,0,93.72,90,1,2,0.71,4
-101,0.5799999833,200.98,90,1,2,0.64,4
-85,32.11000061,128.23,60,1,1,4.22,4
-96,0,93.67,90,1,2,0.54,4
-101,0.8500000238,185.85,90,1,2,0.39,4
-96,0,93.62,90,1,2,0.47,4
-105,0,260.95,60,1,2,0.5,4
-101,1.200000048,222.73,90,1,2,0.56,4
-69,32.91999817,369.76,60,1,1,3.66,4
-96,0,93.5,90,1,2,0.49,4
-101,0.5500000119,186.78,90,1,2,0.55,4
-61,8.25,214.26,60,1,1,3.67,3
-96,0,93.41,90,1,2,0.48,4
-87,8.729999542,342.83,60,1,1,4.54,2
-86,8.789999962,840.54,90,1,2,0.45,4
-103,0,269.24,60,1,2,0.63,4
-96,0,93.19,90,1,2,0.49,4
-91,21.37000084,3381.08,90,1,2,0.64,4
-96,0,92.9,90,1,2,0.49,4
-67,0,349.73,60,1,1,3.55,3
-51,19.76000023,1554.75,90,1,1,0.55,2
-96,0,92.85,90,1,2,0.48,4
-103,0,270.91,60,1,2,0.67,4
-94,0.4499999881,321.57,90,1,2,1.28,4
-96,0,92.81,90,1,2,0.67,4
-95,1,357.67,90,1,2,0.56,4
-69,2.25,197.18,60,1,1,4.01,3
-96,0,92.73,90,1,2,0.67,4
-86,8.869999886,643.78,90,1,2,0.44,4
-96,0,92.62,90,1,2,0.4,4
-93,0,83.17,90,1,2,0.42,4
-95,0.349999994,671.28,90,1,2,0.42,4
-81,0,384.25,60,1,1,5.26,4
-71,0,627.87,60,1,1,4.03,1
-103,0,267.53,60,1,2,0.46,4
-93,0,83.74,90,1,2,0.46,4
-82,4.079999924,390.79,90,1,2,0.7,4
-93,0,83.58,90,1,2,0.7,4
-93,2.230000019,370.47,90,1,2,0.54,4
-93,0,83.53,90,1,2,0.45,4
-85,0,384.09,60,1,1,3.3,4
-91,1.149999976,256.12,90,1,2,0.56,4
-92,0,83.64,90,1,2,0.48,4
-91,1.110000014,324.61,90,1,2,0.47,4
-103,0,251.28,60,1,2,1.21,4
-92,0,83.74,90,1,2,0.61,4
-77,0,561.7,60,1,1,3.82,3
-91,1.110000014,324.61,90,1,2,0.4,4
-83,0,383.91,60,1,1,3.5,4
-93,0,83.74,90,1,2,0.41,4
-93,2.230000019,205.37,90,1,2,0.53,4
-93,0,83.92,90,1,2,0.44,4
-85,2.200000048,162.35,90,1,2,0.53,4
-93,0,84.02,90,1,2,0.52,4
-85,1,242.31,90,1,2,0.4,4
-93,0,84,90,1,2,0.7,4
-85,0.7300000191,274.74,90,1,2,0.5,4
-67,0,545.68,60,1,1,5.33,3
-116,0,222.81,60,1,2,1.09,4
-95,0,84,90,1,2,0.48,4
-81,8.550000191,88.85,60,1,1,3.49,4
-85,0,245.68,90,1,2,0.68,4
-95,0,83.97,90,1,2,0.52,4
-85,0,249.16,90,1,2,0.52,4
-73,0,544.98,60,1,1,3.91,1
-95,0,83.98,90,1,2,0.62,4
-81,2.910000086,36.79,60,1,1,3.72,4
-115,0.349999994,225.26,60,1,2,0.41,4
-85,0.4099999964,238.18,90,1,2,0.5,4
-75,0,545.13,60,1,1,3.69,1
-115,0.6899999976,212.07,60,1,2,0.9,4
-77,9.640000343,414.89,90,1,0,0.49,3
-77,3.099999905,533.32,60,1,0,3.23,4
-115,0.5500000119,223.4,60,1,2,0.72,4
-85,0,238.64,90,1,2,0.4,4
-69,0,548.21,60,1,1,3.87,4
-79,0.9300000072,76.76,60,1,1,4.54,4
-85,0,242.5,90,1,2,0.58,4
-75,1.159999967,556.44,60,1,1,4.02,3
-87,8.380000114,277.12,60,1,1,3.04,4
-111,0,215.77,60,1,2,0.84,4
-85,0,242.93,90,1,2,0.42,4
-79,0,564.41,60,1,1,3.67,1
-116,0,217.26,60,1,2,0.76,4
-81,7.550000191,402.94,60,1,1,4.26,4
-85,0,242.92,90,1,2,0.43,4
-77,0,562.67,60,1,1,4,1
-113,0.3799999952,217.08,60,1,2,0.51,4
-81,0.3400000036,219.93,60,1,1,4.21,4
-85,0,242.89,90,1,2,0.52,4
-77,0,561.05,60,1,1,3.89,3
-103,0,252.41,60,1,2,0.66,4
-83,8.149999619,172.07,60,1,1,4.19,3
-106,31.20999908,1159.81,90,1,2,0.41,4
-85,0,242.84,90,1,2,0.47,4
-102,0,252.42,60,1,2,0.71,4
-91,7.78000021,281.74,60,1,1,6.17,2
-105,47.13999939,959.18,90,1,2,0.42,4
-85,0,242.95,90,1,2,0.52,4
-89,2.869999886,478.44,60,1,1,3.97,3
-102,0,251.68,60,1,2,0.75,4
-71,8.369999886,189.08,60,1,1,4.36,3
-99,58.00999832,262.8,90,1,2,0.51,4
-85,0.4900000095,244.5,90,1,2,0.55,4
-103,0,243.78,60,1,2,0.66,4
-69,4.75,118.76,60,1,1,4.08,3
-85,0.6299999952,237.32,90,1,2,0.47,4
-69,34.31000137,73.24,90,1,1,0,2
-75,8.670000076,325.14,60,1,1,5.46,3
-81,9.890000343,696.86,60,1,1,3.67,4
-85,0.7599999905,213.38,90,1,2,0.5,4
-91,34.15999985,103.09,90,1,2,0.47,4
-85,0,244.62,90,1,2,0.56,4
-93,2.440000057,220.17,90,1,2,0.51,4
-85,0,243.29,90,1,2,0.61,4
-67,0,266.43,60,1,1,4.12,3
-85,0,243.4,90,1,2,0.62,4
-85,7.349999905,509.59,90,1,2,0.47,4
-85,0,243.48,90,1,2,0.53,4
-85,0.5,267.87,90,1,2,0.41,4
-92,6.210000038,283.19,90,1,2,0.42,4
-75,7.519999981,15.53,60,1,1,4.69,2
-102,0,258.74,60,1,2,0.72,4
-83,0,374.12,60,1,1,3.63,4
-85,0.5799999833,223.49,90,1,2,0.61,4
-91,0,473.02,90,1,2,0.6,4
-81,0,379.11,60,1,1,3.89,2
-85,0,242.58,90,1,2,0.48,4
-87,0,227.95,90,1,2,0.47,4
-81,0,377.56,60,1,1,5.99,4
-81,6.449999809,329.94,60,1,1,4.8,3
-85,0,242.79,90,1,2,0.58,4
-104,0,258.84,60,1,2,0.72,4
-81,0,378,60,1,1,3.6,4
-85,0,242.69,90,1,2,0.55,4
-87,0,378.29,60,1,1,5.4,4
-85,0,242.72,90,1,2,0.45,4
-115,2.119999886,883.8,60,1,2,0.46,4
-83,0,378.39,60,1,1,3.89,4
-85,0,242.65,90,1,2,0.52,4
-81,7.880000114,271.98,90,1,2,0.68,4
-85,0,242.75,90,1,2,0.53,4
