Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-107,0,845.83,90,1,2,0.52,4
-107,0,845.11,90,1,2,0.39,4
-103,0.8199999928,256.07,60,1,1,3.46,4
-107,0,844.94,90,1,2,0.44,4
-107,0,844.62,90,1,2,0.54,4
-83,0.8199999928,256.07,60,1,0,3.02,1
-107,0,844.57,90,1,2,0.48,4
-107,0,844.7,90,1,2,0.4,4
-107,0,844.77,90,1,2,0.64,4
-107,0,844.51,90,1,2,0.51,4
-107,0,830.4,90,1,2,0.4,4
-107,0,830.23,90,1,2,0.44,4
-107,0,830.04,90,1,2,0.65,4
-107,0,829.94,90,1,2,0.46,4
-105,0.8199999928,256.07,60,1,1,3.92,4
-107,0,829.98,90,1,2,0.55,4
-107,0,829.94,90,1,2,0.48,4
-103,0.8199999928,256.07,60,1,1,3.63,4
-107,0,833.31,90,1,2,0.44,4
-107,0,832.6,90,1,2,0.41,4
-107,0,832.23,90,1,2,0.51,4
-109,0.8199999928,256.07,60,1,1,3.28,4
-107,0,832.02,90,1,2,0.54,4
-107,0,831.62,90,1,2,0.42,4
-107,0,831.31,90,1,2,0.47,4
-107,0,830.84,90,1,2,0.46,4
-103,0.8199999928,256.07,60,1,1,3.37,4
-107,0,830.93,90,1,2,0.41,4
-107,0,830.45,90,1,2,0.5,4
-107,0,830.3,90,1,2,0.42,4
-107,0,829.88,90,1,2,0.46,4
-107,0,828.65,90,1,2,0.44,4
-103,0.8199999928,256.07,60,1,1,3.57,4
-107,0,828.3,90,1,2,0.53,4
-107,0,828.55,90,1,2,0.5,4
-107,0,828.61,90,1,2,0.38,4
-107,0,828.62,90,1,2,0.43,4
-107,0,828.56,90,1,2,0.55,4
-105,0.8199999928,256.07,60,1,1,3.69,4
-107,0,828.67,90,1,2,0.61,4
-107,0,828.57,90,1,2,0.51,4
-107,0,828.5,90,1,2,0.42,4
-103,0.8199999928,256.07,60,1,1,3.73,4
-107,0,828.49,90,1,2,0.54,4
-106,0,828.47,90,1,2,0.65,4
-106,0,828.65,90,1,2,0.47,4
-106,0,829.04,90,1,2,0.45,4
-106,0,829.3,90,1,2,0.47,4
-106,0,829.54,90,1,2,0.45,4
-106,0,829.99,90,1,2,0.41,4
-103,0.8199999928,256.07,60,1,1,3.69,4
-106,0,830.51,90,1,2,0.45,4
-106,0,830.55,90,1,2,0.56,4
-106,0,830.68,90,1,2,0.4,4
-105,0.8199999928,256.07,60,1,1,3.8,4
-106,0,830.99,90,1,2,0.41,4
-106,0,831.01,90,1,2,0.51,4
-103,0.8199999928,256.07,60,1,1,3.79,4
-106,0,830.84,90,1,2,0.51,4
-106,0,830.9,90,1,2,0.43,4
-107,0,830.79,90,1,2,0.48,4
-107,0,831.09,90,1,2,0.48,4
-105,0.8199999928,256.07,60,1,1,3.82,2
-107,0,831.12,90,1,2,0.5,4
-107,0,831.02,90,1,2,0.41,4
-107,0,831.09,90,1,2,0.45,4
-107,0,830.99,90,1,2,0.45,4
-105,0.8199999928,256.07,60,1,1,3.88,4
-107,0,830.97,90,1,2,0.42,4
-107,0,830.79,90,1,2,0.42,4
-107,0,830.72,90,1,2,0.44,4
-107,0,830.72,90,1,2,0.61,4
-107,0,830.72,90,1,2,0.45,4
-107,0,830.62,90,1,2,0.47,4
-107,0,830.51,90,1,2,0.42,4
-101,0.8199999928,256.07,60,1,1,3.62,3
-107,0,830.36,90,1,2,0.41,4
-107,0,830.29,90,1,2,0.41,4
-107,0,830.29,90,1,2,0.45,4
-103,0.8199999928,256.07,60,1,1,3.48,4
-107,0,830.37,90,1,2,0.39,4
-107,0,830.53,90,1,2,0.44,4
-107,0,830.62,82.41,1,2,0.47,4
-107,0,830.51,90,1,2,0.48,4
-107,0,830.47,90,1,2,0.48,4
-107,0,830.44,90,1,2,0.47,4
-107,0,830.38,90,1,2,0.44,4
